Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,wind_speed_squared,humidity_times_windspeed,pressure_change_3h,humidity_change_3h,wind_speed_change_3h,Station Name_Foster Weather Station,Station Name_Oak Street Weather Station
5.9,86.0,0.0,0.0,5.2,0.0,119,5.1,7.1,986.1,38.0,354.0,12.0,26.01,438.6,0.0,0.0,0.0,False,False
4.3,76.0,0.0,0.0,2.5,0.0,11,5.85,11.2,989.9,4.0,354.0,11.9,34.2225,444.6,0.0,0.0,0.0,False,False
7.0,55.0,0.0,0.0,1.4,0.0,63,1.9,2.8,985.5,327.5,342.0,12.0,3.61,104.5,0.0,0.0,0.0,False,True
7.0,59.0,0.0,0.0,1.4,0.0,4,4.0,4.4,985.5,327.5,342.0,15.1,16.0,236.0,-0.6000000000000227,-27.0,-1.0999999999999996,True,False
6.3,56.0,0.0,0.0,1.4,0.0,124,1.5,2.3,985.5,180.0,342.0,12.1,2.25,84.0,-4.399999999999977,-20.0,-4.35,False,True
7.0,61.0,0.0,0.0,1.4,0.0,40,1.2,1.7,985.5,322.0,342.0,15.1,1.44,73.2,0.0,6.0,-0.7,True,False
6.5,54.0,0.0,0.0,1.4,0.0,156,1.9,3.4,985.5,127.0,342.0,12.1,3.61,102.6,0.0,-5.0,-2.1,False,True
6.3,52.0,0.0,0.0,1.4,0.0,61,2.2,2.5,985.5,174.0,342.0,15.1,4.840000000000001,114.4,0.0,-4.0,0.7000000000000002,True,False
6.5,58.0,0.0,0.0,1.4,0.0,115,1.9,2.1,985.5,79.0,342.0,15.1,3.61,110.2,0.0,-3.0,0.7,True,False
6.3,53.0,0.0,0.0,1.4,0.0,150,1.4,4.5,985.5,67.0,342.0,12.1,1.9599999999999995,74.19999999999999,0.0,-1.0,-0.5,False,True
6.4,52.0,0.0,0.0,1.4,0.0,155,1.1,2.3,985.5,10.0,342.0,12.0,1.2100000000000002,57.2,0.0,0.0,-1.1,False,True
6.3,59.0,0.0,0.0,1.4,0.0,127,2.1,2.3,985.5,5.0,342.0,15.2,4.41,123.9,0.0,1.0,0.2000000000000001,True,False
7.4,62.0,0.0,0.0,1.4,0.0,65,2.8,3.3,985.5,0.0,342.0,15.2,7.839999999999999,173.6,0.0,9.0,1.4,True,False
7.4,58.0,0.0,0.0,1.4,0.0,175,1.3,2.5,985.5,2.0,342.0,12.0,1.6900000000000002,75.4,0.0,6.0,0.1999999999999999,False,True
7.5,66.0,0.0,0.0,1.4,0.0,81,1.8,1.9,985.5,0.0,342.0,15.2,3.24,118.8,0.0,7.0,-0.3,True,False
7.5,58.0,0.0,0.0,1.4,0.0,164,1.7,3.5,985.5,3.0,342.0,12.0,2.8899999999999997,98.6,0.0,-4.0,-1.1,False,True
7.1,63.0,0.0,0.0,1.4,0.0,145,2.0,2.6,985.5,0.0,342.0,15.1,4.0,126.0,0.0,5.0,0.7,True,False
7.1,45.0,0.0,0.0,1.4,0.0,155,0.7,2.3,985.5,2.0,342.0,12.1,0.4899999999999999,31.499999999999996,0.0,-21.0,-1.1,False,True
9.0,32.0,0.0,0.0,1.4,0.0,159,2.0,3.5,992.2,327.5,342.0,12.1,4.0,64.0,6.7000000000000455,-26.0,0.3,False,True
9.0,50.0,0.0,0.0,1.4,0.0,142,3.9,4.2,992.2,327.5,342.0,15.1,15.21,195.0,6.7000000000000455,-13.0,1.9,True,False
11.8,55.0,0.0,0.0,1.4,0.0,137,3.7,3.8,992.2,327.5,342.0,15.1,13.69,203.5,6.7000000000000455,10.0,3.0,True,False
12.1,50.0,0.0,0.0,1.4,0.0,141,3.4,3.6,992.2,327.5,342.0,15.1,11.56,170.0,0.0,18.0,1.4,True,False
10.9,42.0,0.0,0.0,1.4,0.0,155,2.3,3.9,992.2,327.5,342.0,12.1,5.289999999999999,96.6,0.0,-8.0,-1.6,False,True
11.6,62.0,0.0,0.0,1.4,0.0,85,2.0,2.8,992.2,327.5,342.0,12.1,4.0,124.0,0.0,7.0,-1.7000000000000002,False,True
12.8,59.0,0.0,0.0,1.4,0.0,119,1.5,1.8,992.2,327.5,342.0,15.1,2.25,88.5,0.0,9.0,-1.9,True,False
11.2,55.0,0.0,0.0,1.4,0.0,109,2.5,3.8,992.2,327.5,342.0,12.1,6.25,137.5,0.0,13.0,0.2000000000000001,False,True
13.3,53.0,0.0,0.0,1.4,0.0,136,1.8,2.3,992.2,327.5,342.0,15.1,3.24,95.4,0.0,-9.0,-0.1999999999999999,True,False
11.7,53.0,0.0,0.0,1.4,0.0,357,0.5,0.9,992.2,327.5,342.0,15.1,0.25,26.5,0.0,-6.0,-1.0,True,False
11.7,50.0,0.0,0.0,1.4,0.0,137,2.2,3.3,992.2,327.5,342.0,12.0,4.840000000000001,110.0,0.0,-5.0,-0.2999999999999998,False,True
11.7,51.0,0.0,0.0,1.4,0.0,89,0.8,1.4,992.2,327.5,342.0,15.1,0.6400000000000001,40.8,0.0,-2.0,-1.0,True,False
12.5,45.0,0.0,0.0,1.4,0.0,136,2.0,3.5,992.2,327.5,342.0,12.1,4.0,90.0,0.0,-8.0,1.5,False,True
12.5,50.0,0.0,0.0,1.4,0.0,138,1.8,2.1,992.2,327.5,342.0,15.1,3.24,90.0,0.0,0.0,-0.4000000000000001,True,False
12.4,43.0,0.0,0.0,1.4,0.0,147,2.0,3.0,992.2,53.0,342.0,12.1,4.0,86.0,0.0,-8.0,1.2,False,True
12.4,51.0,0.0,0.0,1.4,0.0,138,1.8,2.0,992.2,327.5,342.0,15.1,3.24,91.8,0.0,6.0,-0.1999999999999999,True,False
12.4,51.0,0.0,0.0,1.4,0.0,124,1.7,2.8,992.2,279.0,342.0,15.1,2.8899999999999997,86.7,0.0,1.0,-0.1,True,False
12.4,40.0,0.0,0.0,1.4,0.0,150,1.1,3.0,992.2,44.0,342.0,12.1,1.2100000000000002,44.0,0.0,-3.0,-0.8999999999999999,False,True
12.4,49.0,0.0,0.0,1.4,0.0,136,4.3,4.9,992.2,155.0,342.0,15.1,18.49,210.7,0.0,-2.0,2.5,True,False
9.0,55.0,0.0,0.0,1.4,0.0,136,1.9,2.7,992.2,5.0,342.0,15.1,3.61,104.5,0.0,4.0,0.1999999999999999,True,False
11.8,41.0,0.0,0.0,1.4,0.0,142,1.3,3.1,992.2,6.0,342.0,12.1,1.6900000000000002,53.3,0.0,1.0,0.1999999999999999,False,True
12.1,38.0,0.0,0.0,1.4,0.0,134,1.5,2.5,992.2,0.0,342.0,12.1,2.25,57.0,0.0,-11.0,-2.8,False,True
12.1,56.0,0.0,0.0,1.4,0.0,139,2.3,2.6,992.2,0.0,342.0,15.1,5.289999999999999,128.79999999999998,0.0,1.0,0.3999999999999999,True,False
12.8,44.0,0.0,0.0,1.4,0.0,169,1.5,2.2,992.2,0.0,342.0,12.1,2.25,66.0,0.0,3.0,0.1999999999999999,False,True
12.8,51.0,0.0,0.0,1.4,0.0,152,1.1,1.9,992.2,0.0,342.0,15.1,1.2100000000000002,56.1,0.0,13.0,-0.3999999999999999,True,False
13.3,54.0,0.0,0.0,1.4,0.0,210,2.1,2.6,992.2,0.0,342.0,15.1,4.41,113.4,0.0,-2.0,-0.1999999999999997,True,False
13.3,41.0,0.0,0.0,1.4,0.0,118,0.8,1.2,992.2,0.0,342.0,12.1,0.6400000000000001,32.800000000000004,0.0,-3.0,-0.7,False,True
19.0,38.0,0.0,0.0,11.1,0.0,208,3.9,4.5,996.6,0.0,342.0,15.1,15.21,148.2,4.399999999999977,-13.0,2.8,True,False
13.4,33.0,0.0,0.0,1.4,0.0,7,1.0,1.4,996.6,0.0,342.0,12.1,1.0,33.0,4.399999999999977,-21.0,-1.1,False,True
13.5,39.0,0.0,0.0,1.4,0.0,49,0.4,1.2,996.6,0.0,342.0,12.0,0.16,15.6,4.399999999999977,-2.0,-0.4,False,True
13.6,40.0,0.0,0.0,2.6,0.0,207,2.8,2.9,996.6,0.0,342.0,15.1,7.839999999999999,112.0,0.0,2.0,-1.1,True,False
13.5,39.0,0.0,0.0,1.4,0.0,0,0.0,0.8,996.6,0.0,342.0,12.0,0.0,0.0,0.0,6.0,-1.0,False,True
13.5,42.0,0.0,0.0,1.4,0.0,199,1.8,2.1,996.6,0.0,342.0,15.1,3.24,75.60000000000001,0.0,3.0,1.4,True,False
13.4,40.0,0.0,0.0,1.4,0.0,145,0.5,0.7,996.6,0.0,342.0,12.1,0.25,20.0,0.0,0.0,-2.3,False,True
12.6,44.0,0.0,0.0,2.6,0.0,216,1.7,2.0,996.6,0.0,342.0,15.1,2.8899999999999997,74.8,0.0,5.0,1.7,True,False
13.3,53.0,0.0,0.0,1.4,0.0,28,0.9,1.3,996.6,0.0,342.0,12.1,0.81,47.7,0.0,11.0,-0.9,False,True
14.3,50.0,0.0,0.0,3.0,0.0,138,1.2,1.3,996.6,0.0,342.0,15.1,1.44,60.0,0.0,10.0,0.7,True,False
12.8,65.0,0.0,0.0,1.4,0.0,171,1.1,1.3,996.6,25.0,342.0,15.1,1.2100000000000002,71.5,0.0,21.0,-0.5999999999999999,True,False
12.8,64.0,0.0,0.0,1.4,0.0,350,0.5,1.0,996.6,16.0,342.0,12.1,0.25,32.0,0.0,11.0,-0.4,False,True
13.7,55.0,0.0,0.0,1.5,0.0,193,0.4,0.8,996.6,43.0,342.0,12.1,0.16,22.0,0.0,5.0,-0.7999999999999999,False,True
13.1,65.0,0.0,0.0,10.6,0.0,142,2.6,2.8,996.6,58.0,342.0,15.1,6.760000000000001,169.0,0.0,0.0,1.5,True,False
14.0,62.0,0.0,0.0,2.5,0.0,121,1.1,1.6,996.6,66.0,342.0,15.1,1.2100000000000002,68.2,0.0,-2.0,0.6000000000000001,True,False
14.0,68.0,0.0,0.0,2.5,0.0,119,0.7,1.1,996.6,59.0,342.0,12.1,0.4899999999999999,47.599999999999994,0.0,13.0,0.2999999999999999,False,True
14.0,76.0,0.0,0.0,2.5,0.0,345,0.6,1.3,996.6,120.0,342.0,12.0,0.36,45.6,0.0,11.0,-2.0,False,True
13.7,74.0,0.0,0.0,2.6,0.0,117,1.9,2.1,996.6,234.0,342.0,15.1,3.61,140.6,0.0,12.0,0.7999999999999998,True,False
13.7,56.0,0.0,0.0,2.6,0.0,142,2.5,3.8,996.6,251.0,342.0,12.0,6.25,140.0,0.0,-12.0,1.8,False,True
13.5,59.0,0.0,0.0,2.6,0.0,147,2.1,3.1,996.6,327.5,342.0,12.1,4.41,123.9,0.0,-17.0,1.5,False,True
13.5,73.0,0.0,0.0,2.6,0.0,75,1.0,1.2,996.6,308.0,342.0,15.1,1.0,73.0,0.0,-1.0,-0.8999999999999999,True,False
13.4,63.0,0.0,0.0,2.6,0.0,145,2.3,3.5,996.6,327.5,342.0,12.1,5.289999999999999,144.89999999999998,0.0,7.0,-0.2000000000000001,False,True
