,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,wind_speed_squared,humidity_times_windspeed,pressure_change_3h,humidity_change_3h,wind_speed_change_3h
Air Temperature,1.0,0.9683875285230028,0.008178561927301124,0.0,0.0,0.4798140574879952,0.0,-0.10423379162677042,-0.23565536408554583,-0.1306758594727628,-0.2470618992263662,0.21833358853714174,0.03140978821923186,-0.07430660309956774,-0.20715083941944415,-0.21008422787347944,-0.02061649250153932,-0.019252964734197305,-0.011691731822799286
Wet Bulb Temperature,0.9683875285230028,1.0,0.18184691232636072,0.0,0.0,0.497188244424138,0.0,-0.14770761232888302,-0.2226656550912725,-0.15673252235412014,-0.26152407098682745,0.17516211761441974,0.03524832072502755,-0.025823603545672157,-0.19691849314747287,-0.1349876344100516,-0.03361799813792098,0.005143794277918939,0.004988836756512089
Humidity,0.008178561927301124,0.18184691232636072,1.0,0.0,0.0,0.10425990368435505,0.0,-0.13828641548565476,0.006658575823173649,0.06650669115419063,-0.18827315492858718,-0.14902114490849924,-0.010581664861682275,-0.14667909751152758,0.031306920762353994,0.39130043521628866,0.05167026316290002,0.2417375436016776,0.021879016810975604
Rain Intensity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interval Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Rain,0.4798140574879952,0.497188244424138,0.10425990368435505,0.0,0.0,1.0,0.0,0.03149814589381342,-0.13424703609073257,-0.013633981348316133,-0.001693308010050345,0.057935153820142124,-0.06524404652945989,-0.05982561051758026,-0.11919678844422735,-0.08961230855868742,-0.026075310575272393,0.04584700112409138,0.030039297521790822
Precipitation Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Direction,-0.10423379162677042,-0.14770761232888302,-0.13828641548565476,0.0,0.0,0.03149814589381342,0.0,1.0,-0.115412530077755,0.3779792401134123,-0.04084321537259889,-0.15209305540532397,-0.20907928444683685,-0.2984993241836863,-0.0747581108169582,-0.16132557474308876,0.24198757959798184,0.015082309923004697,-0.10755950263281064
Wind Speed,-0.23565536408554583,-0.2226656550912725,0.006658575823173649,0.0,0.0,-0.13424703609073257,0.0,-0.115412530077755,1.0,0.5974581521983656,-0.07117248558693433,0.05297262699611595,0.06300719392682397,0.18885130787653134,0.9612970212943645,0.8997007077053852,-0.1599445716640109,0.02192673737147824,0.5117824845693003
Maximum Wind Speed,-0.1306758594727628,-0.15673252235412014,0.06650669115419063,0.0,0.0,-0.013633981348316133,0.0,0.3779792401134123,0.5974581521983656,1.0,-0.05325689450343629,0.00693653080307588,-0.16630539154161114,-0.4689545879151145,0.6664753590206226,0.5782928837442933,0.1927090815453324,0.13650530766208885,0.20196466048597475
Barometric Pressure,-0.2470618992263662,-0.26152407098682745,-0.18827315492858718,0.0,0.0,-0.001693308010050345,0.0,-0.04084321537259889,-0.07117248558693433,-0.05325689450343629,1.0,0.062236434010792624,0.00775077847358934,-0.07297831236257907,-0.07881697029925232,-0.1322193271987321,0.08721972306826109,0.003752777573446351,-0.029114354957720353
Solar Radiation,0.21833358853714174,0.17516211761441974,-0.14902114490849924,0.0,0.0,0.057935153820142124,0.0,-0.15209305540532397,0.05297262699611595,0.00693653080307588,0.062236434010792624,1.0,0.0711613249571173,-0.11206322909818771,0.030427574047560867,-0.016081256313418706,-0.06453918826881073,-0.0792703466851808,0.040729845107478374
Heading,0.03140978821923186,0.03524832072502755,-0.010581664861682275,0.0,0.0,-0.06524404652945989,0.0,-0.20907928444683685,0.06300719392682397,-0.16630539154161114,0.00775077847358934,0.0711613249571173,1.0,0.06699781907075267,0.02355547690201195,0.05534471932938902,-0.030049307341633757,0.06538029136969291,0.07115064863855414
Battery Life,-0.07430660309956774,-0.025823603545672157,-0.14667909751152758,0.0,0.0,-0.05982561051758026,0.0,-0.2984993241836863,0.18885130787653134,-0.4689545879151145,-0.07297831236257907,-0.11206322909818771,0.06699781907075267,1.0,0.10375960651549812,0.0890990628159526,-0.4282356849576002,-0.2736389680884973,0.17061589238941757
wind_speed_squared,-0.20715083941944415,-0.19691849314747287,0.031306920762353994,0.0,0.0,-0.11919678844422735,0.0,-0.0747581108169582,0.9612970212943645,0.6664753590206226,-0.07881697029925232,0.030427574047560867,0.02355547690201195,0.10375960651549812,1.0,0.8762387738521196,-0.11109442293644291,0.030285236971325086,0.47332813094596926
humidity_times_windspeed,-0.21008422787347944,-0.1349876344100516,0.39130043521628866,0.0,0.0,-0.08961230855868742,0.0,-0.16132557474308876,0.8997007077053852,0.5782928837442933,-0.1322193271987321,-0.016081256313418706,0.05534471932938902,0.0890990628159526,0.8762387738521196,1.0,-0.10830725585211745,0.11100288809995239,0.45356006256860276
pressure_change_3h,-0.02061649250153932,-0.03361799813792098,0.05167026316290002,0.0,0.0,-0.026075310575272393,0.0,0.24198757959798184,-0.1599445716640109,0.1927090815453324,0.08721972306826109,-0.06453918826881073,-0.030049307341633757,-0.4282356849576002,-0.11109442293644291,-0.10830725585211745,1.0,0.12833465079350262,-0.3231251097272368
humidity_change_3h,-0.019252964734197305,0.005143794277918939,0.2417375436016776,0.0,0.0,0.04584700112409138,0.0,0.015082309923004697,0.02192673737147824,0.13650530766208885,0.003752777573446351,-0.0792703466851808,0.06538029136969291,-0.2736389680884973,0.030285236971325086,0.11100288809995239,0.12833465079350262,1.0,0.06671581544634714
wind_speed_change_3h,-0.011691731822799286,0.004988836756512089,0.021879016810975604,0.0,0.0,0.030039297521790822,0.0,-0.10755950263281064,0.5117824845693003,0.20196466048597475,-0.029114354957720353,0.040729845107478374,0.07115064863855414,0.17061589238941757,0.47332813094596926,0.45356006256860276,-0.3231251097272368,0.06671581544634714,1.0
